tick;positiveVolume [MW];negativeVolume [MW]
397;4155;4332
398;4155;4332
399;4155;4332
400;4155;4332
401;4155;4332
402;4155;4332
403;4155;4332
404;4155;4332
405;4155;4332
406;4155;4332
407;4155;4332
408;4155;4332
409;4155;4332
410;4155;4332
411;4155;4332
412;4155;4332
413;4155;4332
414;4155;4332
415;4155;4332
416;4155;4332
417;4155;4332
418;4155;4332
419;4155;4332
420;4155;4332
421;4155;4332
422;4155;4332
423;4155;4332
424;4155;4332
425;4155;4332
426;4155;4332
427;4155;4332
428;4155;4332
429;4155;4332
430;4155;4332
431;4155;4332
432;4155;4332
433;4155;4332
434;4155;4332
435;4155;4332
436;4155;4332
437;4155;4332
438;4155;4332
439;4155;4332
440;4155;4332
441;4155;4332
442;4155;4332
443;4155;4332
444;4155;4332
445;4155;4332
446;4155;4332
447;4155;4332
448;4155;4332
449;4155;4332
450;4155;4332
451;4155;4332
452;4155;4332
453;4155;4332
454;4155;4332
455;4155;4332
456;4155;4332
457;4155;4332
458;4155;4332
459;4155;4332
460;4155;4332
461;4155;4332
462;4155;4332
463;4155;4332
464;4155;4332
465;4155;4332
466;4155;4332
467;4155;4332
468;4155;4332
469;4155;4332
470;4155;4332
471;4155;4332
472;4155;4332
473;4155;4332
474;4155;4332
475;4155;4332
476;4155;4332
477;4155;4332
478;4155;4332
479;4155;4332
480;4155;4332
481;4155;4332
482;4155;4332
483;4155;4332
484;4155;4332
485;4155;4332
486;4155;4332
487;4155;4332
488;4155;4332
489;4155;4332
490;4155;4332
491;4155;4332
492;4155;4332
493;4155;4332
494;4155;4332
495;4155;4332
496;4155;4332
497;4155;4332
498;4155;4332
499;4155;4332
500;4155;4332
501;4155;4332
502;4155;4332
503;4155;4332
504;4155;4332
505;4155;4332
506;4155;4332
507;4155;4332
508;4155;4332
509;4155;4332
510;4155;4332
511;4155;4332
512;4155;4332
513;4155;4332
514;4155;4332
515;4155;4332
516;4155;4332
517;4155;4332
518;4155;4332
519;4155;4332
520;4155;4332
521;4155;4332
522;4155;4332
523;4155;4332
524;4155;4332
525;4155;4332
526;4155;4332
527;4155;4332
528;4155;4332
529;4155;4332
530;4155;4332
531;4155;4332
532;4155;4332
533;4155;4332
534;4155;4332
535;4155;4332
536;4155;4332
537;4155;4332
538;4155;4332
539;4155;4332
540;4155;4332
541;4155;4332
542;4155;4332
543;4155;4332
544;4155;4332
545;4155;4332
546;4155;4332
547;4155;4332
548;4155;4332
549;4155;4332
550;4155;4332
551;4155;4332
552;4155;4332
553;4155;4332
554;4155;4332
555;4155;4332
556;4155;4332
557;4155;4332
558;4155;4332
559;4155;4332
560;4155;4332
561;4155;4332
562;4155;4332
563;4155;4332
564;4155;4332
565;4155;4332
566;4155;4332
567;4155;4332
568;4155;4332
569;4155;4332
570;4155;4332
571;4155;4332
572;4155;4332
573;4155;4332
574;4155;4332
575;4155;4332
576;4155;4332
577;4155;4332
578;4155;4332
579;4155;4332
580;4155;4332
581;4155;4332
582;4155;4332
583;4155;4332
584;4155;4332
585;4155;4332
586;4155;4332
587;4155;4332
588;4155;4332
589;4155;4332
590;4155;4332
591;4155;4332
592;4155;4332
593;4155;4332
594;4155;4332
595;4155;4332
596;4155;4332
597;4155;4332
598;4155;4332
599;4155;4332
600;4155;4332
601;4155;4332
602;4155;4332
603;4155;4332
604;4155;4332
605;4155;4332
606;4155;4332
607;4155;4332
608;4155;4332
609;4155;4332
610;4155;4332
611;4155;4332
612;4155;4332
613;4155;4332
614;4155;4332
615;4155;4332
616;4155;4332
617;4155;4332
618;4155;4332
619;4155;4332
620;4155;4332
621;4155;4332
622;4155;4332
623;4155;4332
624;4155;4332
625;4155;4332
626;4155;4332
627;4155;4332
628;4155;4332
629;4155;4332
630;4155;4332
631;4155;4332
632;4155;4332
633;4155;4332
634;4155;4332
635;4155;4332
636;4155;4332
637;4155;4332
638;4155;4332
639;4155;4332
640;4155;4332
641;4155;4332
642;4155;4332
643;4155;4332
644;4155;4332
645;4155;4332
646;4155;4332
647;4155;4332
648;4155;4332
649;4155;4332
650;4155;4332
651;4155;4332
652;4155;4332
653;4155;4332
654;4155;4332
655;4155;4332
656;4155;4332
657;4155;4332
658;4155;4332
659;4155;4332
660;4155;4332
661;4155;4332
662;4155;4332
663;4155;4332
664;4155;4332
665;4155;4332
666;4155;4332
667;4155;4332
668;4155;4332
669;4155;4332
670;4155;4332
671;4155;4332
672;4155;4332
673;4155;4332
674;4155;4332
675;4155;4332
676;4155;4332
677;4155;4332
678;4155;4332
679;4155;4332
680;4155;4332
681;4155;4332
682;4155;4332
683;4155;4332
684;4155;4332
685;4155;4332
686;4155;4332
687;4155;4332
688;4155;4332
689;4155;4332
690;4155;4332
691;4155;4332
692;4155;4332
693;4155;4332
694;4155;4332
695;4155;4332
696;4155;4332
697;4155;4332
698;4155;4332
699;4155;4332
700;4155;4332
701;4155;4332
702;4155;4332
703;4155;4332
704;4155;4332
705;4155;4332
706;4155;4332
707;4155;4332
708;4155;4332
709;4155;4332
710;4155;4332
711;4155;4332
712;4155;4332
713;4155;4332
714;4155;4332
715;4155;4332
716;4155;4332
717;4155;4332
718;4155;4332
719;4155;4332
720;4155;4332
721;4155;4332
722;4155;4332
723;4155;4332
724;4155;4332
725;4155;4332
726;4155;4332
727;4155;4332
728;4155;4332
729;4155;4332
730;4155;4332
731;4155;4332
732;4155;4332
733;4155;4332
734;4155;4332
735;4155;4332
736;4155;4332
737;4155;4332
738;4155;4332
739;4155;4332
740;4155;4332
741;4155;4332
742;4155;4332
743;4155;4332
744;4155;4332
745;4155;4332
746;4155;4332
747;4155;4332
748;4155;4332
749;4155;4332
750;4155;4332
751;4155;4332
752;4155;4332
753;4155;4332
754;4155;4332
755;4155;4332
756;4155;4332
757;4155;4332
758;4155;4332
759;4155;4332
760;4155;4332
761;4155;4332
762;4155;4332
763;4155;4332
764;4155;4332
765;4155;4332
766;4155;4332
767;4155;4332
768;4155;4332
769;4155;4332
770;4155;4332
771;4155;4332
772;4155;4332
773;4155;4332
774;4155;4332
775;4155;4332
776;4155;4332
777;4155;4332
778;4155;4332
779;4155;4332
780;4155;4332
781;4155;4332
782;4155;4332
783;4155;4332
784;4155;4332
785;4155;4332
786;4155;4332
787;4155;4332
788;4155;4332
789;4155;4332
790;4155;4332
791;4155;4332
792;4155;4332
793;4155;4332
794;4155;4332
795;4155;4332
796;4155;4332
797;4155;4332
798;4155;4332
799;4155;4332
800;4155;4332
801;4155;4332
802;4155;4332
803;4155;4332
804;4155;4332
805;4155;4332
806;4155;4332
807;4155;4332
808;4155;4332
809;4155;4332
810;4155;4332
811;4155;4332
812;4155;4332
813;4155;4332
814;4155;4332
815;4155;4332
816;4155;4332
817;4155;4332
818;4155;4332
819;4155;4332
820;4155;4332
821;4155;4332
822;4155;4332
823;4155;4332
824;4155;4332
825;4155;4332
826;4155;4332
