name;description;ChargePowerMax [MW];DischargePowerMax [MW];chargingEfficiency [%];dischargingEfficiency [%];capacityMin [MWh];capacityMax [MWh];variableCostsCharging [EUR/MWh];variableCostsDischarging [EUR/MWh]
Tanzmühle - Rabenleite;PSPP;25;35;0,81;0,88;0;404;0,28;0,28
Leitzach II;PSPP;38;49;0,86;0,9;0;550;0,28;0,28
Leitzach I;PSPP;40;51;0,86;0,9;0;550;0,28;0,28
Hohenwarte I;PSPP;34;63;0,8;0,87;0;504;0,28;0,28
Bleiloch;PSPP;32;80;0,8;0,87;0;640;0,28;0,28
Wendefurth;PSPP;72;80;0,82;0,88;0;523;0,28;0,28
Glems;PSPP;68;90;0,84;0,89;0;560;0,28;0,28
Reisach - Rabenleite;PSPP;84;100;0,85;0,9;0;630;0,28;0,28
Geesthacht;PSPP;96;105;0,81;0,87;0;600;0,28;0,28
Rönkhausen;PSPP;140;140;0,85;0,9;0;690;0,28;0,28
Waldeck I;PSPP;96;140;0,87;0,92;0;478;0,28;0,28
Häusern;PSPP;104;144;0,82;0,88;0;514;0,28;0,28
Koepchenwerk Herdecke II;PSPP;153;153;0,85;0,9;0;590;0,28;0,28
Happurg;PSPP;126;160;0,83;0,89;0;900;0,28;0,28
Langenprozelten;PSPP;154;168;0,85;0,9;0;950;0,28;0,28
Waldshut;PSPP;80;176;0,79;0,86;0;581;0,28;0,28
Erzhausen;PSPP;230;220;0,84;0,9;0;940;0,28;0,28
Witznau;PSPP;128;220;0,77;0,84;0;880;0,28;0,28
Hohenwarte II;PSPP;310;320;0,8;0,87;0;2087;0,28;0,28
Säckingen;PSPP;301;353;0,86;0,91;0;2064;0,28;0,28
Waldeck II;PSPP;476;440;0,87;0,92;0;3428;0,28;0,28
Wehr;PSPP;1000;992;0,86;0,9;0;6076;0,28;0,28
Markersbach;PSPP;1140;1050;0,84;0,89;0;4018;0,28;0,28
Goldisthal;PSPP;1140;1060;0,88;0,92;0;8480;0,28;0,28
